Family,Genus,Species,Common_Name
Acipenseridae,Acipenser,medirostris,green sturgeon
Acipenseridae,Acipenser,transmontanus,white sturgeon
Centrarchidae,Archoplites,interruptus,sacramento perch
Catostomidae,Catostomus,fumeiventris,owens sucker
Catostomidae,Catostomus,latipinnis,flannelmouth sucker
Catostomidae,Catostomus,luxatus,lost river sucker
Catostomidae,Catostomus,microps,modoc sucker
Catostomidae,Catostomus,occidentalis,sucker
Catostomidae,Catostomus,rimiculus,klamath smallscale sucker
Catostomidae,Catostomus,santaanae,santa ana sucker
Catostomidae,Catostomus,snyderi,klamath largescale sucker
Catostomidae,Catostomus,tahoensis,tahoe sucker
Catostomidae,Chasmistes,brevirostris,shortnose sucker
Cottidae,Cottus,aleuticus,coastrange sculpin
Cottidae,Cottus,asper,prickly sculpin
Cottidae,Cottus,asperrimus,rough sculpin
Cottidae,Cottus,beldingi,paiute sculpin
Cottidae,Cottus,gulosus,riffle sculpin
Cottidae,Cottus,klamathensis,marbled sculpin
Cottidae,Cottus,perplexus,reticulate sculpin
Cottidae,Cottus,pitensis,pit sculpin
Cyprinodontidae,Cyprinodon,macularius,desert pupfish
Cyprinodontidae,Cyprinodon,nevadensis,pupfish
Cyprinodontidae,Cyprinodon,radiosus,owens pupfish
Cyprinodontidae,Cyprinodon,salinus,salt creek or cottonball marsh pupfish
Petromyzontidae,Entosphenus,folletti,northern california brook lamprey
Petromyzontidae,Entosphenus,similis,klamath river lamprey
Petromyzontidae,Entosphenus,tridentata,pacific or goose lake lamprey
Gobiidae,Eucyclogobius,kristinae,southern tidewater goby
Gobiidae,Eucyclogobius,newberryi,northern tidewater goby
Cyprinodontidae,Fundulus,parvipinnus,california killifish
Gasterosteidae,Gasterosteus,aculeatus,stickleback
Cyprinidae,Gila,coerulea,blue chub
Cyprinidae,Gila,elegans,bonytail
Cyprinidae,Gila,orcutti,arroyo chub
Cyprinidae,Hesperoleucus,mitrulus,northern roach
Cyprinidae,Hesperoleucus,parvipinnus,gualala roach
Cyprinidae,Hesperoleucus,symmetricus,roach (most taxa)
Cyprinidae,Hesperoleucus,symmetricus x venustus,clear lake roach
Cyprinidae,Hesperoleucus,venustus,coastal roach
Osmeridae,Hypomesus,pacificus,delta smelt
Embiotocidae,Hysterocarpus,traskii,tule perch
Petromyzontidae,Lampetra,ayersi,river lamprey
Petromyzontidae,Lampetra,hubbsi,kern brook lamprey
Petromyzontidae,Lampetra,lethophaga,pit-klamath brook lamprey
Petromyzontidae,Lampetra,richardsoni,western brook lamprey
Cyprinidae,Lavinia,exilicauda,hitch
Cottidae,Leptocottus,armatus,staghorn sculpin
Mugilidae,Mugil,cephalus,striped mullet
Cyprinidae,Mylopharodon,conocephalus,hardhead
Salmonidae,Oncorhynchus,clarki,cutthroat trout
Salmonidae,Oncorhynchus,gorbuscha,pink salmon
Salmonidae,Oncorhynchus,keta,chum salmon
Salmonidae,Oncorhynchus,kisutch,coho salmon
Salmonidae,Oncorhynchus,mykiss,steelhead
Salmonidae,Oncorhynchus,tshawytscha,chinook salmon
Cyprinidae,Orthodon,microlepidotus,sacramento blackfish
Catostomidae,Pantosteus,lahontan,lahontan mountain sucker
Pleuronectidae,Platichthys,stellatus,starry flounder
Cyprinidae,Pogonichthys,ciscoides,clear lake splittail
Cyprinidae,Pogonichthys,macrolepidotus,sacramento splittail
Salmonidae,Prosopium,williamsoni,mountain whitefish
Cyprinidae,Ptychocheilus,grandis,sacramento pikeminnow
Cyprinidae,Ptychocheilus,lucius,colorado pikeminnow
Cyprinidae,Rhinichths,osculus,speckled dace
Cyprinidae,Richardsonius,egregius,lahontan redside
Salmonidae,Salvelinus,confluentus,bull trout
Cyprinidae,Siphatales,bicolor,tui chub
Cyprinidae,Siphatales,crassicauda,thicktail chub
Cyprinidae,Siphatales,mohavensis,mojave tui chub
Cyprinidae,Siphatales,thalassinus,tui chub
Osmeridae,Spirinchus,thaleichthys,longfin smelt
Osmeridae,Thaleichthys,pacificus,eulachon
Catostomidae,Xyrauchen,texanus,razorback sucker
